都道府県コード又は市区町村コード,NO,都道府県名,データ名称,データ概要,データ形式,分類,URL,ライセンス,掲載ページ名,掲載ページURL,データ提供所属,備考
230006,28,愛知県,ひったくり（CSV：15KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,29,愛知県,車上ねらい（CSV：296KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,30,愛知県,部品ねらい（CSV：217KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,31,愛知県,自動販売機ねらい（CSV：63KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,32,愛知県,自動車盗（CSV：96KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,33,愛知県,オートバイ盗（CSV：96KB）,平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,34,愛知県,"自転車盗（CSV：1,173KB）",平成30年中の犯罪発生情報,csv,くらし・安全,-,CC BY,愛知県警察犯罪オープンデータサイト,https://www.pref.aichi.jp/police/anzen/toukei/opendata/seian-s/crimeopendata.html,愛知県警察本部,
230006,35,愛知県,ボーリング調査等の地盤情報,国土地盤情報データベース,csv,くらし・安全,https://ngic.or.jp/,CC BY,愛知県オープンデータカタログ,https://www.pref.aichi.jp/opendata/,情報政策課,データの最終更新日：CSVファイルの先頭行に記載
230006,36,愛知県,土砂災害警戒区域（土石流）（シェープファイル形式：2.0MB）,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200367/c200367_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,37,愛知県,土砂災害特別警戒区域（土石流）（シェープファイル形式：840KB）,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200368/c200368_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,38,愛知県,土砂災害警戒区域（急傾斜地の崩壊）（シェープファイル形式：6.1MB）,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200369/c200369_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,39,愛知県,土砂災害特別警戒区域（急傾斜地の崩壊）（シェープファイル形式：4.6MB）,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200370/c200370_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,40,愛知県,土砂災害警戒区域（地滑り）（シェープファイル形式：93.4KB）,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200371/c200371_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,41,愛知県,3次メッシュ,土砂災害情報マップ,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200376/c200376_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,砂防課,データの最終更新日：サイトに記載
230006,42,愛知県,福祉施設（2021年時点）,福祉施設（2021年時点）,csv,くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c211754/c211754.csv,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,情報政策課,データの最終更新日：サイトに記載
230006,43,愛知県,病院,医療機関（2020年時点）（詳細）,csv,くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c211452/c211452.csv,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,情報政策課,データの最終更新日：サイトに記載
230006,44,愛知県,診療所,医療機関（2020年時点）（詳細）,csv,くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c211453/c211453.csv,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,情報政策課,データの最終更新日：サイトに記載
230006,45,愛知県,歯科診療所,医療機関（2020年時点）（詳細）,csv,くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c211459/c211459.csv,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,情報政策課,データの最終更新日：サイトに記載
230006,46,愛知県,境川(逢妻川）・猿渡川流域,特定都市河川流域図（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200599/c200599_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,47,愛知県,新川流域,特定都市河川流域図（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200598/c200598_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,48,愛知県,工業用水法による規制対象地域01（シェープファイル形式：5.4KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200764/c200764_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,49,愛知県,工業用水法市町村名（シェープファイル形式：1.8KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200765/c200765_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,50,愛知県,県民の生活環境の保全等に関する条例による規制（第一）01（シェープファイル形式：3.8KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200766/c200766_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,51,愛知県,条例第一規制区域市町村名（シェープファイル形式：1.6KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200767/c200767_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,52,愛知県,県民の生活環境の保全等に関する条例による規制（第二）01（シェープファイル形式：3.5KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200768/c200768_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,53,愛知県,条例第二規制区域市町村名（シェープファイル形式：1.8KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200769/c200769_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,54,愛知県,県民の生活環境の保全等に関する条例による規制（第三）01（シェープファイル形式：3.0KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200770/c200770_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,55,愛知県,条例第三規制区域市町村名（シェープファイル形式：1.4KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200771/c200771_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,56,愛知県,条例による水量測定器設置義務区域01（シェープファイル形式：17.9KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200772/c200772_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,57,愛知県,水量測定器設置義務市町村名（シェープファイル形式：3.6KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200773/c200773_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,58,愛知県,条例による水量測定器設置義務区域（対象外）（シェープファイル形式：4.0KB）,地下水利用に関する規制等対象地域,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c200774/c200774_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,生活環境地盤対策室,データの最終更新日：サイトに記載
230006,59,愛知県,弥冨市,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205030/c205030_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,60,愛知県,名古屋市熱田区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205028/c205028_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,61,愛知県,名古屋市緑区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205029/c205029_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,62,愛知県,名古屋市南区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205027/c205027_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,63,愛知県,名古屋市中村区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205026/c205026_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,64,愛知県,名古屋市中川区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205025/c205025_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,65,愛知県,名古屋市瑞穂区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205024/c205024_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
230006,66,愛知県,名古屋市港区,津波災害情報マップ（詳細）,"zip(shp,shx,dbfなど)",くらし・安全,https://profile.maps.pref.aichi.jp/map/files/opendata/c205023/c205023_shp.zip,CC BY,マップあいちオープンデータカタログサイト,https://maps.pref.aichi.jp/opendata.html,河川課,データの最終更新日：サイトに記載
